level_name,variation,scenario,template,agent,mode,result
single_force_t04_00002.xml,2,single_force,4,D-DDQN-Image,train,0.225
single_force_t04_00002.xml,2,single_force,4,Relational-Symbolic,train,0.375
single_force_t04_00002.xml,2,single_force,4,Relational-Image,train,0.050
single_force_t04_00002.xml,2,single_force,4,Random Agent,train,0.085
single_force_t04_00006.xml,6,single_force,4,PDDLAgent,train,Lose
single_force_t04_00006.xml,6,single_force,4,Human,train,0.963
single_force_t04_00006.xml,6,single_force,4,Pig Shooter,train,0.873
single_force_t04_00006.xml,6,single_force,4,Datalab,train,0.890
single_force_t04_00006.xml,6,single_force,4,Eagle’s Wing,train,0.615
single_force_t04_00006.xml,6,single_force,4,Bambirds,train,0.580
single_force_t04_00006.xml,6,single_force,4,D-DDQN-Symbolic,train,0.300
single_force_t04_00006.xml,6,single_force,4,D-DDQN-Image,train,0.225
single_force_t04_00006.xml,6,single_force,4,Relational-Symbolic,train,0.375
single_force_t04_00006.xml,6,single_force,4,Relational-Image,train,0.050
single_force_t04_00006.xml,6,single_force,4,Random Agent,train,0.085
single_force_t04_00006.xml,6,single_force,4,PDDLAgent,train,Lose
single_force_t04_00006.xml,6,single_force,4,Human,train,0.963
single_force_t04_00006.xml,6,single_force,4,Pig Shooter,train,0.873
single_force_t04_00006.xml,6,single_force,4,Datalab,train,0.890
single_force_t04_00006.xml,6,single_force,4,Eagle’s Wing,train,0.615
single_force_t04_00006.xml,6,single_force,4,Bambirds,train,0.580
single_force_t04_00006.xml,6,single_force,4,D-DDQN-Symbolic,train,0.300
single_force_t04_00006.xml,6,single_force,4,D-DDQN-Image,train,0.225
single_force_t04_00006.xml,6,single_force,4,Relational-Symbolic,train,0.375
single_force_t04_00006.xml,6,single_force,4,Relational-Image,train,0.050
single_force_t04_00006.xml,6,single_force,4,Random Agent,train,0.085
single_force_t04_00006.xml,6,single_force,4,PDDLAgent,train,Win
single_force_t04_00006.xml,6,single_force,4,Human,train,0.963
single_force_t04_00006.xml,6,single_force,4,Pig Shooter,train,0.873
single_force_t04_00006.xml,6,single_force,4,Datalab,train,0.890
single_force_t04_00006.xml,6,single_force,4,Eagle’s Wing,train,0.615
single_force_t04_00006.xml,6,single_force,4,Bambirds,train,0.580
single_force_t04_00006.xml,6,single_force,4,D-DDQN-Symbolic,train,0.300
single_force_t04_00006.xml,6,single_force,4,D-DDQN-Image,train,0.225
single_force_t04_00006.xml,6,single_force,4,Relational-Symbolic,train,0.375
single_force_t04_00006.xml,6,single_force,4,Relational-Image,train,0.050
single_force_t04_00006.xml,6,single_force,4,Random Agent,train,0.085
single_force_t04_00009.xml,9,single_force,4,PDDLAgent,train,Lose
single_force_t04_00009.xml,9,single_force,4,Human,train,0.963
single_force_t04_00009.xml,9,single_force,4,Pig Shooter,train,0.873
single_force_t04_00009.xml,9,single_force,4,Datalab,train,0.890
single_force_t04_00009.xml,9,single_force,4,Eagle’s Wing,train,0.615
single_force_t04_00009.xml,9,single_force,4,Bambirds,train,0.580
single_force_t04_00009.xml,9,single_force,4,D-DDQN-Symbolic,train,0.300
single_force_t04_00009.xml,9,single_force,4,D-DDQN-Image,train,0.225
single_force_t04_00009.xml,9,single_force,4,Relational-Symbolic,train,0.375
single_force_t04_00009.xml,9,single_force,4,Relational-Image,train,0.050
single_force_t04_00009.xml,9,single_force,4,Random Agent,train,0.085
single_force_t04_00009.xml,9,single_force,4,PDDLAgent,train,Lose
single_force_t04_00009.xml,9,single_force,4,Human,train,0.963
single_force_t04_00009.xml,9,single_force,4,Pig Shooter,train,0.873
single_force_t04_00009.xml,9,single_force,4,Datalab,train,0.890
single_force_t04_00009.xml,9,single_force,4,Eagle’s Wing,train,0.615
single_force_t04_00009.xml,9,single_force,4,Bambirds,train,0.580
single_force_t04_00009.xml,9,single_force,4,D-DDQN-Symbolic,train,0.300
single_force_t04_00009.xml,9,single_force,4,D-DDQN-Image,train,0.225
single_force_t04_00009.xml,9,single_force,4,Relational-Symbolic,train,0.375
single_force_t04_00009.xml,9,single_force,4,Relational-Image,train,0.050
single_force_t04_00009.xml,9,single_force,4,Random Agent,train,0.085
single_force_t04_00009.xml,9,single_force,4,PDDLAgent,test,Lose
single_force_t04_00009.xml,9,single_force,4,Human,test,0.963
single_force_t04_00009.xml,9,single_force,4,Pig Shooter,test,0.873
single_force_t04_00009.xml,9,single_force,4,Datalab,test,0.890
